x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
185.00;0.00;p;10100.00;244.12;90.00;0.00;1000.00;185.00
185.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1016.97
185.00;1000.00;p;50.50;0.90;-0.00;0.00;10.00;1016.97
195.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1018.84
195.00;1000.00;p;10150.00;191.59;-90.00;0.00;1000.00;1018.84
195.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;195.00
195.00;0.00;p;51.51;0.05;-0.00;0.00;10.00;195.00
205.00;0.00;y;38.72;0.49;-0.00;90.00;0.00;205.00
205.00;0.00;p;10100.00;207.29;90.00;0.00;1000.00;205.00
205.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1020.80
205.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1020.80
215.00;1000.00;y;38.72;0.06;-0.00;-90.00;0.00;1022.85
215.00;1000.00;p;10150.00;205.75;-90.00;0.00;1000.00;1022.85
215.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;215.00
215.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;215.00
225.00;0.00;y;38.72;0.62;-0.00;90.00;0.00;225.00
225.00;0.00;p;10100.00;216.76;90.00;0.00;1000.00;225.00
225.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1025.00
225.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1025.00
235.00;1000.00;y;38.72;0.80;-0.00;-90.00;0.00;1027.24
235.00;1000.00;p;10150.00;207.81;-90.00;0.00;1000.00;1027.24
235.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;235.00
235.00;0.00;p;51.51;0.49;-0.00;0.00;10.00;235.00
245.00;0.00;y;38.72;0.81;-0.00;90.00;0.00;245.00
245.00;0.00;p;10100.00;235.35;90.00;0.00;1000.00;245.00
245.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1029.58
245.00;1000.00;p;50.50;0.62;-0.00;0.00;10.00;1029.58
255.00;1000.00;y;38.72;0.11;-0.00;-90.00;0.00;1032.00
255.00;1000.00;p;10150.00;235.78;-90.00;0.00;1000.00;1032.00
255.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;255.00
255.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;255.00
265.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;265.00
265.00;0.00;p;10100.00;214.54;90.00;0.00;1000.00;265.00
265.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1034.52
265.00;1000.00;p;50.50;1.50;-0.00;0.00;10.00;1034.52
275.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1037.12
275.00;1000.00;p;10150.00;249.80;-90.00;0.00;1000.00;1037.12
275.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;275.00
275.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;275.00
285.00;0.00;y;38.72;0.43;-0.00;90.00;0.00;285.00
285.00;0.00;p;10100.00;219.93;90.00;0.00;1000.00;285.00
285.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1039.82
285.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1039.82
295.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1042.60
295.00;1000.00;p;10150.00;186.94;-90.00;0.00;1000.00;1042.60
295.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;295.00
295.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;295.00
305.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;305.00
305.00;0.00;p;10100.00;199.24;90.00;0.00;1000.00;305.00
305.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1045.48
305.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1045.48
315.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1048.44
315.00;1000.00;p;10150.00;189.22;-90.00;0.00;1000.00;1048.44
315.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;315.00
315.00;0.00;p;51.51;0.54;-0.00;0.00;10.00;315.00
325.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;325.00
325.00;0.00;p;10100.00;225.86;90.00;0.00;1000.00;325.00
325.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1051.49
325.00;1000.00;p;50.50;0.74;-0.00;0.00;10.00;1051.49
335.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1054.62
335.00;1000.00;p;10150.00;233.53;-90.00;0.00;1000.00;1054.62
335.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;335.00
335.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;335.00
345.00;0.00;y;38.72;1.49;-0.00;90.00;0.00;345.00
345.00;0.00;p;10100.00;210.89;90.00;0.00;1000.00;345.00
345.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1057.84
345.00;1000.00;p;50.50;1.22;-0.00;0.00;10.00;1057.84
355.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1061.14
355.00;1000.00;p;10150.00;189.27;-90.00;0.00;1000.00;1061.14
355.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;355.00
355.00;0.00;p;51.51;0.01;-0.00;0.00;10.00;355.00
365.00;0.00;y;38.72;0.04;-0.00;90.00;0.00;365.00
365.00;0.00;p;10100.00;183.64;90.00;0.00;1000.00;365.00
365.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1064.53
365.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1064.53
375.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1068.00
375.00;1000.00;p;10150.00;162.11;-90.00;0.00;1000.00;1068.00
375.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;375.00
375.00;0.00;p;51.51;0.05;-0.00;0.00;10.00;375.00
385.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;385.00
385.00;0.00;p;10100.00;201.60;90.00;0.00;1000.00;385.00
385.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1071.55
385.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1071.55
395.00;1000.00;y;38.72;0.13;-0.00;-90.00;0.00;1075.19
395.00;1000.00;p;10150.00;185.23;-90.00;0.00;1000.00;1075.19
395.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;395.00
395.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;395.00
405.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;405.00
405.00;0.00;p;10100.00;144.49;90.00;0.00;1000.00;405.00
405.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1078.90
405.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1078.90
415.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1082.69
415.00;1000.00;p;10150.00;180.73;-90.00;0.00;1000.00;1082.69
415.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;415.00
415.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;415.00
425.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;425.00
425.00;0.00;p;10100.00;212.92;90.00;0.00;1000.00;425.00
425.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1086.57
425.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1086.57
435.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1090.52
435.00;1000.00;p;10150.00;200.92;-90.00;0.00;1000.00;1090.52
435.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;435.00
435.00;0.00;p;51.51;0.81;-0.00;0.00;10.00;435.00
445.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;445.00
445.00;0.00;p;10100.00;163.42;90.00;0.00;1000.00;445.00
445.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1094.54
445.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1094.54
455.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1098.65
455.00;1000.00;p;10150.00;198.47;-90.00;0.00;1000.00;1098.65
455.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;455.00
455.00;0.00;p;51.51;1.26;-0.00;0.00;10.00;455.00
465.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;465.00
465.00;0.00;p;10100.00;196.12;90.00;0.00;1000.00;465.00
465.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1102.83
465.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1102.83
475.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1107.08
475.00;1000.00;p;10150.00;178.77;-90.00;0.00;1000.00;1107.08
475.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;475.00
475.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;475.00
485.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;485.00
485.00;0.00;p;10100.00;193.98;90.00;0.00;1000.00;485.00
485.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1111.41
485.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1111.41
495.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1115.81
495.00;1000.00;p;10150.00;169.85;-90.00;0.00;1000.00;1115.81
495.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;495.00
495.00;0.00;p;51.51;0.09;-0.00;0.00;10.00;495.00
505.00;0.00;y;38.72;0.95;-0.00;90.00;0.00;505.00
505.00;0.00;p;10100.00;207.08;90.00;0.00;1000.00;505.00
505.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1120.28
505.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1120.28
515.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1124.82
515.00;1000.00;p;10150.00;203.94;-90.00;0.00;1000.00;1124.82
515.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;515.00
515.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;515.00
525.00;0.00;y;38.72;0.49;-0.00;90.00;0.00;525.00
525.00;0.00;p;10100.00;221.42;90.00;0.00;1000.00;525.00
