x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
35.14;64.20;y;5.06;0.00;114.30;-13.92;0.00;73.18
35.14;64.20;p;89.60;1.13;100.38;0.00;7.32;73.18
33.82;57.00;p;90.08;0.00;100.38;0.00;7.32;66.28
32.50;49.80;y;5.43;0.00;100.38;15.01;0.00;59.47
32.50;49.80;p;74.44;0.13;115.39;0.00;6.02;59.47
29.92;44.36;p;73.89;0.29;115.39;0.00;6.02;53.50
27.33;38.92;y;29.25;0.00;115.39;89.15;0.00;47.56
27.33;38.92;p;69.21;0.00;-155.46;0.00;5.61;47.56
22.23;41.25;p;69.21;3.04;-155.46;0.00;5.61;46.86
17.12;43.58;y;44.97;2.37;-155.46;-139.43;0.00;46.82
17.12;43.58;p;89.91;0.79;65.11;0.00;7.30;46.82
20.19;36.96;y;9.02;0.00;65.11;26.49;0.00;42.11
20.19;36.96;p;101.11;1.04;91.60;0.00;8.25;42.11
19.96;28.71;y;8.45;0.00;91.60;-24.24;0.00;34.96
19.96;28.71;p;78.80;2.29;67.36;0.00;6.49;34.96
22.46;22.71;y;6.26;0.00;67.36;18.10;0.00;31.94
22.46;22.71;p;75.47;3.98;85.46;0.00;6.11;31.94
22.94;16.62;y;24.60;0.54;85.46;-75.96;0.00;28.33
22.94;16.62;p;61.45;0.00;9.50;0.00;4.99;28.33
27.87;15.80;y;12.70;0.00;9.50;-37.78;0.00;32.03
27.87;15.80;p;87.83;1.17;-28.28;0.00;7.23;32.03
34.23;19.23;y;52.01;0.00;-28.28;162.24;0.00;39.26
34.23;19.23;p;92.71;0.00;133.96;0.00;7.65;39.26
28.92;13.72;p;93.41;0.49;133.96;0.00;7.65;32.01
23.61;8.21;y;20.94;0.00;133.96;63.56;0.00;25.00
23.61;8.21;p;74.80;0.00;-162.48;0.00;6.05;25.00
17.84;10.03;p;74.33;2.37;-162.48;0.00;6.05;20.47
12.07;11.85;y;21.88;0.00;-162.48;-66.75;0.00;16.92
12.07;11.85;p;69.51;0.81;130.77;0.00;5.70;16.92
8.35;7.53;p;69.23;0.00;130.77;0.00;5.70;11.25
4.63;3.21;y;42.71;0.00;130.77;132.08;0.00;5.63
4.63;3.21;p;80.28;0.00;-97.15;0.00;7.76;5.63
3.66;10.91;p;73.28;0.29;-97.15;0.00;7.76;11.51
2.70;18.61;y;2.44;0.01;-97.15;5.73;0.00;18.80
